id;shop_id;full_name;phone;address;point
1;73380;Liberia;578-434-6930;Lev incremental Triple-buffered;18493
2;38101;Tools Greenland;1-301-696-5732 x72498;convergence Account;42109
3;1156;Usability Tools;(992) 766-2642 x1160;navigate Republic Riel;99800
4;35341;success withdrawal;436-429-6828 x9007;Metal Steel Toys;10853
5;73269;Decentralized Data;710.527.0179;Pizza;35917
6;51822;archive blockchains Direct;372-678-6588 x484;Loan Paradigm Salad;35200
7;84646;Borders;397.968.0253;solid;7322
8;69253;Plastic Response;793-986-5815;deposit Dakota;45493
9;28549;invoice Place;480-719-5966 x9940;Checking collaborative workforce;50127
10;22529;Director web-readiness;270-641-4345;proactive connecting Tasty;98155
